Label	Weight	Text
l_Sajjita_Payroll	1	show pf amount of sajjita for dec
l_Sajjita_Payroll	1	show salaryslip under sajjita for march
l_Sajjita_Payroll	1	i want to see bonus for anushka
l_Sajjita_Payroll	1	i want to quit this session
l_Sajjita_Payroll	1	show help
l_Sajjita_Payroll	1	i want to apply for travel reimbursement
l_Sajjita_Payroll	1	i wanna view payroll options
l_Sajjita_Payroll	1	i want to see salary slip for feb under sajjita
l_Sajjita_Payroll	1	show the the pf amount for yash
l_Sajjita_Payroll	1	tell the pf amount of nancy for december
l_Sajjita_Payroll	1	tell me my march pf amount
l_Sajjita_Payroll	1	i wanna exit
l_Sajjita_Payroll	1	file a request for convence allowance reimbursement of 200 dollars
l_Sajjita_Payroll	1	i want to apply for travel allowance
l_Sajjita_Payroll	1	view payroll
l_Sajjita_Payroll	1	what are the payroll optiobs
l_Sajjita_Payroll	1	i want to see my salary slip
l_Sajjita_Payroll	1	shoe help suggestions
l_Sajjita_Payroll	1	i want to view bonus for yash
l_Sajjita_Payroll	1	show salary slip for feb under sajjita
l_Sajjita_Payroll	1	kashish
l_Sajjita_Payroll	1	show suggestions
l_Sajjita_Payroll	1	yes i need help
l_Sajjita_Payroll	1	i wanna quit
l_Sajjita_Payroll	1	check my gratuity amount for january
l_Sajjita_Payroll	1	i want to see my salary details
l_Sajjita_Payroll	1	show my salary slip of march
l_Sajjita_Payroll	1	show salary slip under sajjita
l_Sajjita_Payroll	1	i want to know my pf for may. name is sajjita bhattacharya
l_Sajjita_Payroll	1	show salary slip
l_Sajjita_Payroll	1	i need help suggestions
l_Sajjita_Payroll	1	file for medical allowance of 200 dollars
l_Sajjita_Payroll	1	want to see help suggestions
l_Sajjita_Payroll	1	i want to view my salary slip. my name is sajjita , for april month.
l_Sajjita_Payroll	1	show me the bonus for december
l_Sajjita_Payroll	1	show gratuity for april for sajjita
l_Sajjita_Payroll	1	i want help
l_Sajjita_Payroll	1	i want to see my gratuity
l_Sajjita_Payroll	1	show bonus for february
l_Sajjita_Payroll	1	what is my gratuity amount for may? name - yukti , id- 303040
l_Sajjita_Payroll	1	check my gratuity for the month of jan
l_Sajjita_Payroll	1	sajjita. i want to see my bonus for jan
l_Sajjita_Payroll	1	i'd like to reimburse my travel allowance
l_Sajjita_Payroll	1	what is bonus for may
l_Sajjita_Payroll	1	show pf of sajjita
l_Sajjita_Payroll	1	i dont want to see suggestions
l_Sajjita_Payroll	1	recharging
l_Sajjita_Payroll	1	i want travel allowance of 500rs under nancy with id 303011
l_Sajjita_Payroll	1	duryodhan
l_Sajjita_Payroll	1	i want to exit this session
l_Sajjita_Payroll	1	i want payroll option
l_Sajjita_Payroll	1	file medical allowance under name yukti with empid 202086
l_Sajjita_Payroll	1	quit
l_Sajjita_Payroll	1	quit this conversation
l_Sajjita_Payroll	1	exit this convo
l_Sajjita_Payroll	1	i dont need suggestions
l_Sajjita_Payroll	1	show the pf amount of yash for sep
l_Sajjita_Payroll	1	show payroll suggestions
l_Sajjita_Payroll	1	my name is sajjita and i want to view my may pf.
l_Sajjita_Payroll	1	show my salary details for oct
l_Sajjita_Payroll	1	i want to see bonus for yash
l_Sajjita_Payroll	1	i want to exit the session
l_Sajjita_Payroll	1	i want to know my gratuity for the december. emp id - 202086 , name - nancy
None	1	i want to file travel allowance of 200 dollars
None	1	name - soha , emp id - 303011. file for medical allowance
q_qna-sajjita	1	Light doesn't work after upgrade.
q_qna-sajjita	1	Who should I contact for customer service
q_qna-sajjita	1	How do I contact support
q_qna-sajjita	1	Light won't turn on.
q_qna-sajjita	1	I need help.
q_qna-sajjita	1	Question
q_qna-sajjita	1	ssup
q_qna-sajjita	1	My smart light app stopped responding.
q_qna-sajjita	1	Why does the light not work
q_qna-sajjita	1	What type of light bulb do I need
q_qna-sajjita	1	Hi
